Medium ,Series ,Title,Tier,Rating ,Genre ,Sub-Genre,Qualifier,Tags
film,Star Wars,Star Wars: Episode III - Revenge of the Sith ,S,95,sci-fi,space-opera,Modern ,"energy weapons, genocide, political intrigue, corruption"
film,Star Wars,Star Wars: Episode IV - A New Hope ,A,90,sci-fi,space-opera,Classic,
film,Star Wars,Star Wars: Episode VI - Return of the Jedi,B,80,sci-fi,space-opera,Classic,
film,Star Wars,Star Wars: Episode I - The Phantom Menace,S,75,sci-fi,space-opera,Classic,
film,Star Wars,Star Wars: Episode II - Attack of the Clones,D,70,sci-fi,space-opera,,
film,Star Wars,Star Wars: Episode V - The Empire Strikes Back ,S,90,sci-fi,space-opera,,
film,Star Wars,Rogue One:  A Star Wars Story ,S,99,sci-fi,military-thriller,,
film,Star Wars,Solo: A Star Wars Story,,,,,,
film,Star Wars,Star Wars: Episode VII - The Force Awakens,,,,space-opera,adequate impersonation,
film,Star Wars,Star Wars: Episode VIII - The Last Jedi ,,,,space-opera,fetid horse-shit,
film,Star Wars,Star Wars: Episode IX - The Rise of Skywalker,,,,space-opera,slop,
film,Star Wars,,,,,,,